title,year,source_title,doi,rank,publisher,event,source_type,holding_publisher,title_vote_haq,title_vote_anand,title_vote_final,title_verdict,has_abstract,abstract_verdict,has_fulltext,fulltext_verdict,exclusion_reason
Waldo: A Private Time-Series Database from Function Secret Sharing,2022,Proceedings - IEEE Symposium on Security and Privacy,10.1109/SP46214.2022.9833611,A*,IEEE,2022 IEEE Symposium on Security and Privacy (SP),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
A Lightweight MapReduce Framework for Secure Processing with SGX,2017,"Proceedings - 2017 17th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing, CCGRID 2017",10.1109/CCGRID.2017.129,A,IEEE,"2017 17th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGRID)",conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
OAT: Attesting operation integrity of embedded devices,2020,Proceedings - IEEE Symposium on Security and Privacy,10.1109/SP40000.2020.00042,A*,IEEE,2020 IEEE Symposium on Security and Privacy (SP),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Isolated mini-domain for trusted cloud computing,2013,"Proceedings - 13th IEEE/ACM International Symposium on Cluster, Cloud, and Grid Computing, CCGrid 2013",10.1109/CCGrid.2013.69,A,IEEE,"2013 13th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGrid)",conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
FTP: The forgotten cloud,2016,"Proceedings - 46th Annual IEEE/IFIP International Conference on Dependable Systems and Networks, DSN 2016",10.1109/DSN.2016.52,A,IEEE,2016 46th Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
"The Strength of Weak Randomization: Easily Deployable, Efficiently Searchable Encryption with Minimal Leakage",2019,"Proceedings - 49th Annual IEEE/IFIP International Conference on Dependable Systems and Networks, DSN 2019",10.1109/DSN.2019.00059,A,IEEE,2019 49th Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
CloudKeyBank: Privacy and owner authorization enforced key management framework,2016,"2016 IEEE 32nd International Conference on Data Engineering, ICDE 2016",10.1109/ICDE.2016.7498383,A*,IEEE,2016 IEEE 32nd International Conference on Data Engineering (ICDE),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
ConHA: An SOA-based API gateway for consolidating heterogeneous HA clusters,2013,"Proceedings - IEEE International Conference on Cluster Computing, ICCC",10.1109/CLUSTER.2013.6702645,A,IEEE,2013 IEEE International Conference on Cluster Computing (CLUSTER),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Policy-Aware Virtual Machine Management in Data Center Networks,2015,Proceedings - International Conference on Distributed Computing Systems,10.1109/ICDCS.2015.81,A,IEEE,2015 IEEE 35th International Conference on Distributed Computing Systems (ICDCS),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Rethinking Authorization Management of Web-APIs,2020,"18th Annual IEEE International Conference on Pervasive Computing and Communications, PerCom 2020",10.1109/PerCom45495.2020.9127384,A*,IEEE,2020 IEEE International Conference on Pervasive Computing and Communications (PerCom),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Secure k-nearest neighbor query over encrypted data in outsourced environments,2014,Proceedings - International Conference on Data Engineering,10.1109/ICDE.2014.6816690,A*,IEEE,2014 IEEE 30th International Conference on Data Engineering (ICDE),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Towards an MPI-like framework for the azure cloud platform,2014,"Proceedings - 14th IEEE/ACM International Symposium on Cluster, Cloud, and Grid Computing, CCGrid 2014",10.1109/CCGrid.2014.100,A,IEEE,"2014 14th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGrid)",conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Medusa: An Efficient Cloud Fault-Tolerant MapReduce,2016,"Proceedings - 2016 16th IEEE/ACM International Symposium on Cluster, Cloud, and Grid Computing, CCGrid 2016",10.1109/CCGrid.2016.20,A,IEEE,"2016 16th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGrid)",conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Deceptive secret sharing,2018,"Proceedings - 48th Annual IEEE/IFIP International Conference on Dependable Systems and Networks, DSN 2018",10.1109/DSN.2018.00053,A,IEEE,2018 48th Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Strategies for minimizing the influence of the use of BYOD and Cloud in organizations: 4CM model,2016,"2016 IEEE 11th Colombian Computing Conference, CCC 2016 - Conference Proceedings",10.1109/ColumbianCC.2016.7750785,A,IEEE,2016 IEEE 11th Colombian Computing Conference (CCC),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
PrivateGraph: A Cloud-Centric System for Spectral Analysis of Large Encrypted Graphs,2017,Proceedings - International Conference on Distributed Computing Systems,10.1109/ICDCS.2017.189,A,IEEE,2017 IEEE 37th International Conference on Distributed Computing Systems (ICDCS),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Smile: Secure Memory Introspection for Live Enclave,2022,Proceedings - IEEE Symposium on Security and Privacy,10.1109/SP46214.2022.9833714,A*,IEEE,2022 IEEE Symposium on Security and Privacy (SP),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Frequency-hiding dependency-preserving encryption for outsourced databases,2017,Proceedings - International Conference on Data Engineering,10.1109/ICDE.2017.124,A*,IEEE,2017 IEEE 33rd International Conference on Data Engineering (ICDE),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Optimizing secure classification performance with privacy-aware feature selection,2016,"2016 IEEE 32nd International Conference on Data Engineering, ICDE 2016",10.1109/ICDE.2016.7498242,A*,IEEE,2016 IEEE 32nd International Conference on Data Engineering (ICDE),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
PPSAS: Lightweight privacy-preserving spectrum aggregation and auction in cognitive radio networks,2019,Proceedings - International Conference on Distributed Computing Systems,10.1109/ICDCS.2019.00115,A,IEEE,2019 IEEE 39th International Conference on Distributed Computing Systems (ICDCS),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Another Flip in the Wall of Rowhammer Defenses,2018,Proceedings - IEEE Symposium on Security and Privacy,10.1109/SP.2018.00031,A*,IEEE,2018 IEEE Symposium on Security and Privacy (SP),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Nodeguard: A Virtualized Introspection Security Approach for the Modern Cloud Data Center,2022,"Proceedings - 22nd IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing, CCGrid 2022",10.1109/CCGrid54584.2022.00093,A,IEEE,"2022 22nd International Symposium on Cluster, Cloud and Internet Computing (CCGrid)",conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Building a national e-service using sentire: Experience report on the use of sentire: A volere-based requirements framework driven by calibrated personas and simulated user feedback,2014,"2014 IEEE 22nd International Requirements Engineering Conference, RE 2014 - Proceedings",10.1109/RE.2014.6912288,A,IEEE,2014 IEEE 22nd International Requirements Engineering Conference (RE),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Cache contention aware Virtual Machine placement and migration in cloud datacenters,2016,"Proceedings - International Conference on Network Protocols, ICNP",10.1109/ICNP.2016.7784447,A,IEEE,2016 IEEE 24th International Conference on Network Protocols (ICNP),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
A Framework for Automated API Fuzzing at Enterprise Scale,2022,"Proceedings - 2022 IEEE 15th International Conference on Software Testing, Verification and Validation, ICST 2022",10.1109/ICST53961.2022.00018,A,IEEE,"2022 IEEE Conference on Software Testing, Verification and Validation (ICST)",conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Bringing execution assurances of pattern matching in outsourced middleboxes,2016,"Proceedings - International Conference on Network Protocols, ICNP",10.1109/ICNP.2016.7784424,A,IEEE,2016 IEEE 24th International Conference on Network Protocols (ICNP),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
VM Performance Maximization and PM Load Balancing Virtual Machine Placement in Cloud,2020,"Proceedings - 20th IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing, CCGRID 2020",10.1109/CCGrid49817.2020.00011,A,IEEE,"2020 20th IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing (CCGRID)",conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
EnGarde: Mutually-Trusted Inspection of SGX Enclaves,2017,Proceedings - International Conference on Distributed Computing Systems,10.1109/ICDCS.2017.35,A,IEEE,2017 IEEE 37th International Conference on Distributed Computing Systems (ICDCS),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Integrating Diversity into Neural-Network-Based Face Deidentification,2018,"Chinese Control Conference, CCC",10.23919/ChiCC.2018.8483889,A,IEEE,2018 37th Chinese Control Conference (CCC),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
GLAP: Distributed dynamic workload consolidation through gossip-based learning,2016,"Proceedings - IEEE International Conference on Cluster Computing, ICCC",10.1109/CLUSTER.2016.24,A,IEEE,2016 IEEE International Conference on Cluster Computing (CLUSTER),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Secure PHR access control scheme for healthcare application clouds,2013,Proceedings of the International Conference on Parallel Processing,10.1109/ICPP.2013.127,A,IEEE,2013 42nd International Conference on Parallel Processing (ICPP),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
REDEMON: Resilient Decentralized Monitoring System for Edge Infrastructures,2020,"Proceedings - 20th IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing, CCGRID 2020",10.1109/CCGrid49817.2020.00-84,A,IEEE,"2020 20th IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing (CCGRID)",conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
SDN-PANDA: Software-defined network platform for anomaly detection applications,2016,"Proceedings - International Conference on Network Protocols, ICNP",10.1109/ICNP.2015.58,A,IEEE,2015 IEEE 23rd International Conference on Network Protocols (ICNP),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Fast network flow resumption for live virtual machine migration on SDN,2016,"Proceedings - International Conference on Network Protocols, ICNP",10.1109/ICNP.2015.24,A,IEEE,2015 IEEE 23rd International Conference on Network Protocols (ICNP),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
BDSP in the cloud: Scheduling and Load Balancing utlizing SDN and CEP,2020,"Proceedings - 20th IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing, CCGRID 2020",10.1109/CCGrid49817.2020.000-2,A,IEEE,"2020 20th IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing (CCGRID)",conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Efficient secure similarity computation on encrypted trajectory data,2015,Proceedings - International Conference on Data Engineering,10.1109/ICDE.2015.7113273,A*,IEEE,2015 IEEE 31st International Conference on Data Engineering (ICDE),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Cloud based Student Transportation Safety System,2015,"Proceedings of the 2014 6th International Conference on Electronics, Computers and Artificial Intelligence, ECAI 2014",10.1109/ECAI.2014.7090146,A,IEEE,"2014 6th International Conference on Electronics, Computers and Artificial Intelligence (ECAI)",conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
ELSA: A Keyword-based Searchable Encryption for Cloud-edge assisted Industrial Internet of Things,2022,"Proceedings - 22nd IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing, CCGrid 2022",10.1109/CCGrid54584.2022.00035,A,IEEE,"2022 22nd International Symposium on Cluster, Cloud and Internet Computing (CCGrid)",conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
GPU Overdrive Fault Attacks on Neural Networks,2021,"IEEE/ACM International Conference on Computer-Aided Design, Digest of Technical Papers, ICCAD",10.1109/ICCAD51958.2021.9643486,A,IEEE,2021 IEEE/ACM International Conference On Computer Aided Design (ICCAD),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Migrating SGX enclaves with persistent state,2018,"Proceedings - 48th Annual IEEE/IFIP International Conference on Dependable Systems and Networks, DSN 2018",10.1109/DSN.2018.00031,A,IEEE,2018 48th Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Plinius: Secure and Persistent Machine Learning Model Training,2021,"Proceedings - 51st Annual IEEE/IFIP International Conference on Dependable Systems and Networks, DSN 2021",10.1109/DSN48987.2021.00022,A,IEEE,2021 51st Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
OpenEI: An open framework for edge intelligence,2019,Proceedings - International Conference on Distributed Computing Systems,10.1109/ICDCS.2019.00182,A,IEEE,2019 IEEE 39th International Conference on Distributed Computing Systems (ICDCS),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Energy and performance efficient underloading detection algorithm of virtual machines in cloud data centers,2016,"Proceedings - IEEE International Conference on Cluster Computing, ICCC",10.1109/CLUSTER.2016.72,A,IEEE,2016 IEEE International Conference on Cluster Computing (CLUSTER),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Distributed Computation of Persistent Homology from Partitioned Big Data,2021,"Proceedings - IEEE International Conference on Cluster Computing, ICCC",10.1109/Cluster48925.2021.00050,A,IEEE,2021 IEEE International Conference on Cluster Computing (CLUSTER),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Scalable surface reconstruction from point clouds with extreme scale and density diversity,2017,"Proceedings - 30th IEEE Conference on Computer Vision and Pattern Recognition, CVPR 2017",10.1109/CVPR.2017.268,A*,IEEE,2017 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
EnclaveDB: A Secure Database Using SGX,2018,Proceedings - IEEE Symposium on Security and Privacy,10.1109/SP.2018.00025,A*,IEEE,2018 IEEE Symposium on Security and Privacy (SP),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Efficient algorithms for encrypted all-gather operation,2021,"Proceedings - 2021 IEEE 35th International Parallel and Distributed Processing Symposium, IPDPS 2021",10.1109/IPDPS49936.2021.00045,A,IEEE,2021 IEEE International Parallel and Distributed Processing Symposium (IPDPS),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
A light-weight trust mechanism for cloud-edge collaboration framework,2019,"Proceedings - International Conference on Network Protocols, ICNP",10.1109/ICNP.2019.8888037,A,IEEE,2019 IEEE 27th International Conference on Network Protocols (ICNP),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Autoencoder-based IDS for cloud and mobile devices,2021,"Proceedings - 21st IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing, CCGrid 2021",10.1109/CCGrid51090.2021.00088,A,IEEE,"2021 IEEE/ACM 21st International Symposium on Cluster, Cloud and Internet Computing (CCGrid)",conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Customized Authorization Process for Cloud Computing and IoT Using Attribute-Based Encryption,2022,"2022 14th International Conference on Electronics, Computers and Artificial Intelligence, ECAI 2022",10.1109/ECAI54874.2022.9847501,A,IEEE,"2022 14th International Conference on Electronics, Computers and Artificial Intelligence (ECAI)",conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Compressive sensing based secure multiparty privacy preserving framework for collaborative data-mining and signal processing,2014,Proceedings - IEEE International Conference on Multimedia and Expo,10.1109/ICME.2014.6890141,A,IEEE,2014 IEEE International Conference on Multimedia and Expo (ICME),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Time-Print: Authenticating USB Flash Drives with Novel Timing Fingerprints,2022,Proceedings - IEEE Symposium on Security and Privacy,10.1109/SP46214.2022.9833595,A*,IEEE,2022 IEEE Symposium on Security and Privacy (SP),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Privacy-preserving GWAS computation on outsourced data encrypted under multiple keys through hybrid system,2020,"Proceedings - 2020 IEEE 7th International Conference on Data Science and Advanced Analytics, DSAA 2020",10.1109/DSAA49011.2020.00078,A,IEEE,2020 IEEE 7th International Conference on Data Science and Advanced Analytics (DSAA),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
D-ORAM: Path-ORAM Delegation for Low Execution Interference on Cloud Servers with Untrusted Memory,2018,Proceedings - International Symposium on High-Performance Computer Architecture,10.1109/HPCA.2018.00043,A*,IEEE,2018 IEEE International Symposium on High Performance Computer Architecture (HPCA),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Key-Escrow Free Attribute-Based Multi-Keyword Search with Dynamic Policy Update in Cloud Computing,2020,"Proceedings - 20th IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing, CCGRID 2020",10.1109/CCGrid49817.2020.00-48,A,IEEE,"2020 20th IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing (CCGRID)",conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
A Certificateless Searchable Public Key Encryption Scheme for Multiple Receivers,2021,"Proceedings - 2021 IEEE International Conference on Web Services, ICWS 2021",10.1109/ICWS53863.2021.00085,A,IEEE,2021 IEEE International Conference on Web Services (ICWS),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
6DOF point cloud alignment using geometric algebra-based adaptive filtering,2016,"2016 IEEE Winter Conference on Applications of Computer Vision, WACV 2016",10.1109/WACV.2016.7477642,A,IEEE,2016 IEEE Winter Conference on Applications of Computer Vision (WACV),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Say Hello Again: Privacy Preserving Matchmaking Using Cloud in Encounter Based Mobile Social Networks,2016,"Proceedings - 2016 16th IEEE/ACM International Symposium on Cluster, Cloud, and Grid Computing, CCGrid 2016",10.1109/CCGrid.2016.39,A,IEEE,"2016 16th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGrid)",conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
RestPL: Towards a request-oriented policy language for arbitrary RESTful APIs,2016,"Proceedings - 2016 IEEE International Conference on Web Services, ICWS 2016",10.1109/ICWS.2016.92,A,IEEE,2016 IEEE International Conference on Web Services (ICWS),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Automatic Consolidation of Virtual Machines in On-premises Cloud Platforms,2017,"Proceedings - 2017 17th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing, CCGRID 2017",10.1109/CCGRID.2017.128,A,IEEE,"2017 17th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGRID)",conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Fine-Grained Fault Tolerance for Resilient pVM-Based Virtual Machine Monitors,2020,"Proceedings - 50th Annual IEEE/IFIP International Conference on Dependable Systems and Networks, DSN 2020",10.1109/DSN48063.2020.00037,A,IEEE,2020 50th Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Leading the digital transformation of knowledge-based organizations through consumption-based IT service models for data management,2022,"2022 14th International Conference on Electronics, Computers and Artificial Intelligence, ECAI 2022",10.1109/ECAI54874.2022.9847425,A,IEEE,"2022 14th International Conference on Electronics, Computers and Artificial Intelligence (ECAI)",conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
PageRankVM: A PageRank based algorithm with anti-collocation constraints for virtual machine placement in cloud datacenters,2018,Proceedings - International Conference on Distributed Computing Systems,10.1109/ICDCS.2018.00068,A,IEEE,2018 IEEE 38th International Conference on Distributed Computing Systems (ICDCS),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Scalable traffic-aware virtual machine management for cloud data centers,2014,Proceedings - International Conference on Distributed Computing Systems,10.1109/ICDCS.2014.32,A,IEEE,2014 IEEE 34th International Conference on Distributed Computing Systems (ICDCS),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
"Resilient Execution of Data-triggered Applications on Edge, Fog and Cloud Resources",2022,"Proceedings - 22nd IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing, CCGrid 2022",10.1109/CCGrid54584.2022.00057,A,IEEE,"2022 22nd International Symposium on Cluster, Cloud and Internet Computing (CCGrid)",conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Comprehensive VM Protection Against Untrusted Hypervisor Through Retrofitted AMD Memory Encryption,2018,Proceedings - International Symposium on High-Performance Computer Architecture,10.1109/HPCA.2018.00045,A*,IEEE,2018 IEEE International Symposium on High Performance Computer Architecture (HPCA),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
The wonderless dataset for serverless computing,2021,"Proceedings - 2021 IEEE/ACM 18th International Conference on Mining Software Repositories, MSR 2021",10.1109/MSR52588.2021.00075,A,IEEE,2021 IEEE/ACM 18th International Conference on Mining Software Repositories (MSR),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Adaptive Navigation Scheme for Optimal Deep-Sea Localization Using Multimodal Perception Cues,2019,IEEE International Conference on Intelligent Robots and Systems,10.1109/IROS40897.2019.8967888,A,IEEE,2019 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Advances in cryptography and secure hardware for data outsourcing,2020,Proceedings - International Conference on Data Engineering,10.1109/ICDE48307.2020.00173,A*,IEEE,2020 IEEE 36th International Conference on Data Engineering (ICDE),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
ASYNC: A Cloud Engine with Asynchrony and History for Distributed Machine Learning,2020,"Proceedings - 2020 IEEE 34th International Parallel and Distributed Processing Symposium, IPDPS 2020",10.1109/IPDPS47924.2020.00052,A,IEEE,2020 IEEE International Parallel and Distributed Processing Symposium (IPDPS),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
A differentially private index for range query processing in clouds,2018,"Proceedings - IEEE 34th International Conference on Data Engineering, ICDE 2018",10.1109/ICDE.2018.00082,A*,IEEE,2018 IEEE 34th International Conference on Data Engineering (ICDE),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Efficient privacy preserving Viola-Jones type object detection via random base image representation,2017,Proceedings - IEEE International Conference on Multimedia and Expo,10.1109/ICME.2017.8019497,A,IEEE,2017 IEEE International Conference on Multimedia and Expo (ICME),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
A Cloud-Assisted Malware Detection Framework for Mobile Devices,2017,"Proceedings - 2016 International Computer Symposium, ICS 2016",10.1109/ICS.2016.0112,A,IEEE,2016 International Computer Symposium (ICS),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Analytics at Scale: Evolution at Infrastructure and Algorithmic Levels,2022,Proceedings - International Conference on Data Engineering,10.1109/ICDE53745.2022.00302,A*,IEEE,2022 IEEE 38th International Conference on Data Engineering (ICDE),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
VRAM: Faster Verifiable RAM with Program-Independent Preprocessing,2018,Proceedings - IEEE Symposium on Security and Privacy,10.1109/SP.2018.00013,A*,IEEE,2018 IEEE Symposium on Security and Privacy (SP),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
DualVisor: Redundant hypervisor execution for achieving hardware error resilience in datacenters,2015,"Proceedings - 2015 IEEE/ACM 15th International Symposium on Cluster, Cloud, and Grid Computing, CCGrid 2015",10.1109/CCGrid.2015.30,A,IEEE,"2015 15th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGrid)",conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Deep learning towards mobile applications,2018,Proceedings - International Conference on Distributed Computing Systems,10.1109/ICDCS.2018.00139,A,IEEE,2018 IEEE 38th International Conference on Distributed Computing Systems (ICDCS),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Secure Live Migration of SGX Enclaves on Untrusted Cloud,2017,"Proceedings - 47th Annual IEEE/IFIP International Conference on Dependable Systems and Networks, DSN 2017",10.1109/DSN.2017.37,A,IEEE,2017 47th Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Fast and accurate graph stream summarization,2019,Proceedings - International Conference on Data Engineering,10.1109/ICDE.2019.00103,A*,IEEE,2019 IEEE 35th International Conference on Data Engineering (ICDE),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
A new file system I/O mode for efficient user-level caching,2017,"Proceedings - 2017 17th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing, CCGRID 2017",10.1109/CCGRID.2017.75,A,IEEE,"2017 17th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGRID)",conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
An Empirical Study of Cryptographic Libraries for MPI Communications,2019,"Proceedings - IEEE International Conference on Cluster Computing, ICCC",10.1109/CLUSTER.2019.8891033,A,IEEE,2019 IEEE International Conference on Cluster Computing (CLUSTER),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Privacy-preserving data integrity verification in mobile edge computing,2019,Proceedings - International Conference on Distributed Computing Systems,10.1109/ICDCS.2019.00104,A,IEEE,2019 IEEE 39th International Conference on Distributed Computing Systems (ICDCS),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
The cyber security in SMEs in Poland and Tanzania,2015,"Proceedings of the 2015 7th International Conference on Electronics, Computers and Artificial Intelligence, ECAI 2015",10.1109/ECAI.2015.7301182,A,IEEE,"2015 7th International Conference on Electronics, Computers and Artificial Intelligence (ECAI)",conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Improving the decision-making process of self-adaptive systems by accounting for tactic volatility,2019,"Proceedings - 2019 34th IEEE/ACM International Conference on Automated Software Engineering, ASE 2019",10.1109/ASE.2019.00092,A*,IEEE,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Sensor-Based Implicit Authentication of Smartphone Users,2017,"Proceedings - 47th Annual IEEE/IFIP International Conference on Dependable Systems and Networks, DSN 2017",10.1109/DSN.2017.21,A,IEEE,2017 47th Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Implicit Smartphone User Authentication with Sensors and Contextual Machine Learning,2017,"Proceedings - 47th Annual IEEE/IFIP International Conference on Dependable Systems and Networks, DSN 2017",10.1109/DSN.2017.24,A,IEEE,2017 47th Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Secure media sharing in the cloud: Two-dimensional-scalable access control and comprehensive key management,2014,Proceedings - IEEE International Conference on Multimedia and Expo,10.1109/ICME.2014.6890308,A,IEEE,2014 IEEE International Conference on Multimedia and Expo (ICME),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Exact and consistent interpretation of piecewise linear models hidden behind APIs: A closed form solution,2020,Proceedings - International Conference on Data Engineering,10.1109/ICDE48307.2020.00059,A*,IEEE,2020 IEEE 36th International Conference on Data Engineering (ICDE),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
Towards a Complete Virtual Data Center Embedding Algorithm Using Hybrid Strategy,2017,Proceedings - International Conference on Distributed Computing Systems,10.1109/ICDCS.2017.127,A,IEEE,2017 IEEE 37th International Conference on Distributed Computing Systems (ICDCS),conference proceeding,IEEE,n,n,Agree - No,Irrelevant,,,,,
